tweet,scores,tokens,length,absolutely_negative,very_negative,negative,neutral,positive,very_positive,perception
"b'@_heygolden_ sabes qu\xc3\xa9? te puedes seguir riendo de eiounor por que mientras tu te r\xc3\xades, el y iou est\xc3\xa1n haciendo el\xe2\x80\xa6 https://t.co/kne2ufujgn'",[ 0  0  0 -2  0  0  0 -2  0  0  0  0  0 -2  0  2  0  0  0  0  0  0],"[""b'@_heygolden_"", 'sabes', 'qu\\xc3\\xa9?', 'te', 'puedes', 'seguir', 'riendo', 'de', 'eiounor', 'por', 'que', 'mientras', 'tu', 'te', 'r\\xc3\\xades,', 'el', 'y', 'iou', 'est\\xc3\\xa1n', 'haciendo', 'el\\xe2\\x80\\xa6', ""https://t.co/kne2ufujgn'""]",174.0,0.0,6.0,0.0,10.0,0.0,2.0,-2.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'que vuelva la mafia del amor por favor',[ 0  0 -1  0  0  2  0  0],"[""b'que"", 'vuelva', 'la', 'mafia', 'del', 'amor', 'por', ""favor'""]",41.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0
b'rt @thejusticeman19: 1er d\xc3\xada de clase y ya cable onda esta dando problema!! hasta cuando @aseppanama',[ 0  0  0  0 -2  0  0  0  0  0 -2  0  0  0  0  0],"[""b'rt"", '@thejusticeman19:', '1er', 'd\\xc3\\xada', 'de', 'clase', 'y', 'ya', 'cable', 'onda', 'esta', 'dando', 'problema!!', 'hasta', 'cuando', ""@aseppanama'""]",110.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
b'@glistengrace gracias amor\xe2\x9d\xa4',[0 0 0],"[""b'@glistengrace"", 'gracias', ""amor\\xe2\\x9d\\xa4'""]",41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
"b'en viaje hacia la redenci\xc3\xb3n, la luz no deja de pulsar\ncreo en el amor porque nunca estoy satisfecho https://t.co/vufrko5g1k'",[ 0  0  0 -1  0 -1  0 -1  0 -2  0  1  2  2  0  0  0  0  0],"[""b'en"", 'viaje', 'hacia', 'la', 'redenci\\xc3\\xb3n,', 'la', 'luz', 'no', 'deja', 'de', 'pulsar\\ncreo', 'en', 'el', 'amor', 'porque', 'nunca', 'estoy', 'satisfecho', ""https://t.co/vufrko5g1k'""]",134.0,0.0,2.0,6.0,12.0,2.0,2.0,-1.0
b'rt @alguien_mas77: @enriquegomezdu1 @rpc_radio @medcommedios @meducapma el mismo due\xc3\xb1o de cable onda!!!',[ 0  0  0  0  0  0  2  0  0 -2  0  0],"[""b'rt"", '@alguien_mas77:', '@enriquegomezdu1', '@rpc_radio', '@medcommedios', '@meducapma', 'el', 'mismo', 'due\\xc3\\xb1o', 'de', 'cable', ""onda!!!'""]",113.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
b'buenos d\xc3\xadas solo al amor de mi vida https://t.co/c8yos4m5bb',[ 0  0  0 -1  2 -2 -3  0  0],"[""b'buenos"", 'd\\xc3\\xadas', 'solo', 'al', 'amor', 'de', 'mi', 'vida', ""https://t.co/c8yos4m5bb'""]",69.0,2.0,2.0,2.0,4.0,0.0,2.0,-2.0
b'cable onda dlv s\xc3\xa1came en cualquier clase menos en f\xc3\xadsica \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1',[0 0 0 0 1 0 0 0 1 0 0],"[""b'cable"", 'onda', 'dlv', 's\\xc3\\xa1came', 'en', 'cualquier', 'clase', 'menos', 'en', 'f\\xc3\\xadsica', ""\\xf0\\x9f\\x98\\xa1\\xf0\\x9f\\x98\\xa1'""]",106.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0
b'@ruggecolgado jajajajaja lo que hace el amor boe',[ 0  0 -1  0  0  2  2  0],"[""b'@ruggecolgado"", 'jajajajaja', 'lo', 'que', 'hace', 'el', 'amor', ""boe'""]",51.0,0.0,0.0,2.0,6.0,0.0,2.0,1.0
b'@enriquegomezdu1 @rpc_radio @medcommedios @meducapma el mismo due\xc3\xb1o de cable onda!!!',[ 0  0  0  0  2  0  0 -2  0  0],"[""b'@enriquegomezdu1"", '@rpc_radio', '@medcommedios', '@meducapma', 'el', 'mismo', 'due\\xc3\\xb1o', 'de', 'cable', ""onda!!!'""]",94.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
"b'que tus palabras acompa\xc3\xb1en a tus actos si no callate, yo por eso no me cay\xc3\xb3, pero si soy manipulador no voy y te se\xe2\x80\xa6 https://t.co/ec3xzvvqgy'","[ 0  0  0  0 -3  0  0 -2 -1  0  0  0  0 -1  2  0  0 -2  0  0 -1  0  0 -2
  0  0]","[""b'que"", 'tus', 'palabras', 'acompa\\xc3\\xb1en', 'a', 'tus', 'actos', 'si', 'no', 'callate,', 'yo', 'por', 'eso', 'no', 'me', 'cay\\xc3\\xb3,', 'pero', 'si', 'soy', 'manipulador', 'no', 'voy', 'y', 'te', 'se\\xe2\\x80\\xa6', ""https://t.co/ec3xzvvqgy'""]",168.0,2.0,6.0,6.0,14.0,0.0,2.0,-2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
b'@luviecheol le puedes dar rt a mi amor por ti? quiero que lo sepa todo el mundo\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',[ 0 -2  0  0 -2 -3 -3  2  0  0  0  0 -1  0  0  2  0],"[""b'@luviecheol"", 'le', 'puedes', 'dar', 'rt', 'a', 'mi', 'amor', 'por', 'ti?', 'quiero', 'que', 'lo', 'sepa', 'todo', 'el', ""mundo\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba'""]",178.0,2.0,4.0,2.0,10.0,0.0,4.0,-2.0
b'fkn cable onda se cuequea en plena explicaci\xc3\xb3n de qu\xc3\xadmica\xf0\x9f\x98\x83',[ 0  0  0  0  0  1  0  0 -2  0],"[""b'fkn"", 'cable', 'onda', 'se', 'cuequea', 'en', 'plena', 'explicaci\\xc3\\xb3n', 'de', ""qu\\xc3\\xadmica\\xf0\\x9f\\x98\\x83'""]",90.0,0.0,2.0,0.0,6.0,2.0,0.0,-1.0
b'rt @bebotril: ojo con decirme amor porque me engancho',[0 0 0 0 0 2 0 2 0],"[""b'rt"", '@bebotril:', 'ojo', 'con', 'decirme', 'amor', 'porque', 'me', ""engancho'""]",56.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
"b'rt @0vejer0: se necesita mucho amor, para que te rompan; y trates de entenderlo...'",[ 0  0  0  0  0  0  0  0 -2  0  0  0 -2  0],"[""b'rt"", '@0vejer0:', 'se', 'necesita', 'mucho', 'amor,', 'para', 'que', 'te', 'rompan;', 'y', 'trates', 'de', ""entenderlo...'""]",85.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
b'rt @thejusticeman19: 1er d\xc3\xada de clase y ya cable onda esta dando problema!! hasta cuando @aseppanama',[ 0  0  0  0 -2  0  0  0  0  0 -2  0  0  0  0  0],"[""b'rt"", '@thejusticeman19:', '1er', 'd\\xc3\\xada', 'de', 'clase', 'y', 'ya', 'cable', 'onda', 'esta', 'dando', 'problema!!', 'hasta', 'cuando', ""@aseppanama'""]",110.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
"b'""la gracia del se\xc3\xb1or jesucristo, el amor de dios, y la comuni\xc3\xb3n del esp\xc3\xadritu santo sean con todos nosotros. am\xc3\xa9n"".\xe2\x80\xa6 https://t.co/y5w00x1yc4'",[ 0  0  0  0  0  2  2 -2  0  0 -1  0  0  0  0  0  0  0  0  0  0],"['b\'""la', 'gracia', 'del', 'se\\xc3\\xb1or', 'jesucristo,', 'el', 'amor', 'de', 'dios,', 'y', 'la', 'comuni\\xc3\\xb3n', 'del', 'esp\\xc3\\xadritu', 'santo', 'sean', 'con', 'todos', 'nosotros.', 'am\\xc3\\xa9n"".\\xe2\\x80\\xa6', ""https://t.co/y5w00x1yc4'""]",181.0,0.0,2.0,2.0,6.0,0.0,2.0,1.0
b'@elsiglodigital @nitocortizo @aseppanama @meducapma veamos el ejemplo de colombia y cuba el gobierno de esos pa\xc3\xadses\xe2\x80\xa6 https://t.co/dwbwgwx2qv',[ 0  0  0  0  0  2  0 -2  0  0  0  2  0 -2  0  0  0],"[""b'@elsiglodigital"", '@nitocortizo', '@aseppanama', '@meducapma', 'veamos', 'el', 'ejemplo', 'de', 'colombia', 'y', 'cuba', 'el', 'gobierno', 'de', 'esos', 'pa\\xc3\\xadses\\xe2\\x80\\xa6', ""https://t.co/dwbwgwx2qv'""]",161.0,0.0,4.0,0.0,10.0,0.0,4.0,0.0
"b'rt @mariapinzn15: @lelebtslove @bts_twt bts es un grupo con canciones que brindan un mensaje de amor y crecimiento personal, es una banda c\xe2\x80\xa6'",[ 0  0  0  0  0 -2  0  0  0  0  0  0  0  0 -2  2  0  0  0 -2  0  0  0],"[""b'rt"", '@mariapinzn15:', '@lelebtslove', '@bts_twt', 'bts', 'es', 'un', 'grupo', 'con', 'canciones', 'que', 'brindan', 'un', 'mensaje', 'de', 'amor', 'y', 'crecimiento', 'personal,', 'es', 'una', 'banda', ""c\\xe2\\x80\\xa6'""]",154.0,0.0,6.0,0.0,8.0,0.0,2.0,-2.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'@dardogasparre una prueba de amor a la novia virgen.',[ 0  0  0 -2  2 -3 -1  0  0],"[""b'@dardogasparre"", 'una', 'prueba', 'de', 'amor', 'a', 'la', 'novia', ""virgen.'""]",55.0,2.0,2.0,2.0,4.0,0.0,2.0,-2.0
b'tengo un mont\xc3\xb3n de cosas por entregar y cable onda no coopera.\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1',[ 0  0  0 -2  0  0  0  0  0  0 -1  0],"[""b'tengo"", 'un', 'mont\\xc3\\xb3n', 'de', 'cosas', 'por', 'entregar', 'y', 'cable', 'onda', 'no', ""coopera.\\xf0\\x9f\\x98\\xa1\\xf0\\x9f\\x98\\xa1\\xf0\\x9f\\x98\\xa1\\xf0\\x9f\\x98\\xa1'""]",136.0,0.0,2.0,2.0,6.0,0.0,0.0,-2.0
b'rt @ivannoble: la amistad tiene una gran ventaja sobre el amor: jam\xc3\xa1s pregunta a qu\xc3\xa9 hora llegaste anoche.',[ 0  0 -1  0  0  0  0  0  0  2  0  0  0 -3  0  0  0  0],"[""b'rt"", '@ivannoble:', 'la', 'amistad', 'tiene', 'una', 'gran', 'ventaja', 'sobre', 'el', 'amor:', 'jam\\xc3\\xa1s', 'pregunta', 'a', 'qu\\xc3\\xa9', 'hora', 'llegaste', ""anoche.'""]",123.0,2.0,0.0,2.0,8.0,0.0,2.0,1.0
"b'yo no s\xc3\xa9 ahora que me va a matar a mi si la u o las clases de mi hermanito, \xc3\xb3sea no saben lo dif\xc3\xadcil que es  con ni\xe2\x80\xa6 https://t.co/3db1wynucv'","[ 0 -1  0  0  0  2  0 -3  0 -3 -3 -2 -1 -3 -2 -1  0 -2 -3  0  0 -1  0 -1
  0  0 -2  0  0  0]","[""b'yo"", 'no', 's\\xc3\\xa9', 'ahora', 'que', 'me', 'va', 'a', 'matar', 'a', 'mi', 'si', 'la', 'u', 'o', 'las', 'clases', 'de', 'mi', 'hermanito,', '\\xc3\\xb3sea', 'no', 'saben', 'lo', 'dif\\xc3\\xadcil', 'que', 'es', 'con', 'ni\\xe2\\x80\\xa6', ""https://t.co/3db1wynucv'""]",175.0,8.0,8.0,10.0,18.0,0.0,2.0,-2.0
"b'rt @sergiorochoa: no es algo wow pero siempre quise hacer esto con el amor de mi vida, y hoy lo hice conmigo mismo ( mi soledad, mi m\xc3\xbasica\xe2\x80\xa6'","[ 0  0 -1 -2  0  0  0  0  0  0 -2  0  2  2 -2 -3  0  0  0 -1  0  0  0  0
 -3  0 -3  0]","[""b'rt"", '@sergiorochoa:', 'no', 'es', 'algo', 'wow', 'pero', 'siempre', 'quise', 'hacer', 'esto', 'con', 'el', 'amor', 'de', 'mi', 'vida,', 'y', 'hoy', 'lo', 'hice', 'conmigo', 'mismo', '(', 'mi', 'soledad,', 'mi', ""m\\xc3\\xbasica\\xe2\\x80\\xa6'""]",160.0,6.0,6.0,4.0,14.0,0.0,2.0,-2.0
b'@cablefibertel #cablevision #fibertel otra vez??? arrancamos la semana as\xc3\xad? con el cable e internet cortados? qu\xc3\xa9 o\xe2\x80\xa6 https://t.co/w2jmw0gvfj',[ 0  0  0  0  0  0 -1  0  0  0  2  0 -3  0  0  0  0  0],"[""b'@cablefibertel"", '#cablevision', '#fibertel', 'otra', 'vez???', 'arrancamos', 'la', 'semana', 'as\\xc3\\xad?', 'con', 'el', 'cable', 'e', 'internet', 'cortados?', 'qu\\xc3\\xa9', 'o\\xe2\\x80\\xa6', ""https://t.co/w2jmw0gvfj'""]",168.0,2.0,0.0,2.0,8.0,0.0,2.0,-2.0
b'rt @andrealtahonam: a esta edad sufrimos m\xc3\xa1s por plata que por amor. confirmo.',[ 0  0 -3 -2  0  0  0  0  0  0  0  0  0],"[""b'rt"", '@andrealtahonam:', 'a', 'esta', 'edad', 'sufrimos', 'm\\xc3\\xa1s', 'por', 'plata', 'que', 'por', 'amor.', ""confirmo.'""]",88.0,2.0,2.0,0.0,4.0,0.0,0.0,-2.0
"b'buenos d\xc3\xadas a todos, menos a cable onda que me dejo en feo y sin internet en medio de la presentaci\xc3\xb3n de mi entrega\xe2\x80\xa6 https://t.co/hgsudtldnt'","[ 0  0 -3  0  0 -3  0  0  0  2  0  1 -1  0  0  0  1  0 -2 -1  0 -2 -3  0
  0]","[""b'buenos"", 'd\\xc3\\xadas', 'a', 'todos,', 'menos', 'a', 'cable', 'onda', 'que', 'me', 'dejo', 'en', 'feo', 'y', 'sin', 'internet', 'en', 'medio', 'de', 'la', 'presentaci\\xc3\\xb3n', 'de', 'mi', 'entrega\\xe2\\x80\\xa6', ""https://t.co/hgsudtldnt'""]",168.0,6.0,4.0,4.0,16.0,4.0,2.0,-2.0
"b'@xmoonlightb0y sabes qu\xc3\xa9? te puedes seguir riendo de eiounor por que mientras tu te r\xc3\xades, el y iou est\xc3\xa1n haciendo e\xe2\x80\xa6 https://t.co/w0axfv5y64'",[ 0  0  0 -2  0  0  0 -2  0  0  0  0  0 -2  0  2  0  0  0  0  0  0],"[""b'@xmoonlightb0y"", 'sabes', 'qu\\xc3\\xa9?', 'te', 'puedes', 'seguir', 'riendo', 'de', 'eiounor', 'por', 'que', 'mientras', 'tu', 'te', 'r\\xc3\\xades,', 'el', 'y', 'iou', 'est\\xc3\\xa1n', 'haciendo', 'e\\xe2\\x80\\xa6', ""https://t.co/w0axfv5y64'""]",175.0,0.0,6.0,0.0,10.0,0.0,2.0,-2.0
b'rt @thejusticeman19: 1er d\xc3\xada de clase y ya cable onda esta dando problema!! hasta cuando @aseppanama',[ 0  0  0  0 -2  0  0  0  0  0 -2  0  0  0  0  0],"[""b'rt"", '@thejusticeman19:', '1er', 'd\\xc3\\xada', 'de', 'clase', 'y', 'ya', 'cable', 'onda', 'esta', 'dando', 'problema!!', 'hasta', 'cuando', ""@aseppanama'""]",110.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
b'rt @infopresidencia: #20dejulio | esta es una fecha que nos llena de orgullo. hoy las banderas se mueven al ritmo del himno nacional y del\xe2\x80\xa6',"[ 0  0  0  0 -2 -2  0  0  0  1  0 -2  0  0 -1  0  0  0 -1  0  0  0  0  0
  0]","[""b'rt"", '@infopresidencia:', '#20dejulio', '|', 'esta', 'es', 'una', 'fecha', 'que', 'nos', 'llena', 'de', 'orgullo.', 'hoy', 'las', 'banderas', 'se', 'mueven', 'al', 'ritmo', 'del', 'himno', 'nacional', 'y', ""del\\xe2\\x80\\xa6'""]",153.0,0.0,4.0,4.0,12.0,2.0,0.0,-2.0
b'1er d\xc3\xada de clase y ya cable onda esta dando problema!! hasta cuando @aseppanama',[ 0  0 -2  0  0  0  0  0 -2  0  0  0  0  0],"[""b'1er"", 'd\\xc3\\xada', 'de', 'clase', 'y', 'ya', 'cable', 'onda', 'esta', 'dando', 'problema!!', 'hasta', 'cuando', ""@aseppanama'""]",89.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
"b'rt @kingsbts7: \xe2\x80\x9cmoon se ha disparado incre\xc3\xadblemente en los charts y directo a los corazones de army, la canci\xc3\xb3n atraviesa el mundo de las m\xe2\x80\xa6'","[ 0  0  0  0 -3  0  0  1 -1  0  0  0 -3 -1  0 -2  0 -1  0  0  2  0 -2 -1
  0]","[""b'rt"", '@kingsbts7:', '\\xe2\\x80\\x9cmoon', 'se', 'ha', 'disparado', 'incre\\xc3\\xadblemente', 'en', 'los', 'charts', 'y', 'directo', 'a', 'los', 'corazones', 'de', 'army,', 'la', 'canci\\xc3\\xb3n', 'atraviesa', 'el', 'mundo', 'de', 'las', ""m\\xe2\\x80\\xa6'""]",179.0,4.0,4.0,8.0,16.0,2.0,2.0,-2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
b'te amo y te prometo que nada ni nadie va a separarnos y que pase lo que pase mi amor por ti nunca cambiar\xc3\xa1. te amo\xe2\x80\xa6 https://t.co/05g2qhkz8z',"[ 0  2  0 -2  0  0  0  1  0  0 -3  0  0  0  0 -1  0  0 -3  2  0 -1  0  0
 -2  0  0]","[""b'te"", 'amo', 'y', 'te', 'prometo', 'que', 'nada', 'ni', 'nadie', 'va', 'a', 'separarnos', 'y', 'que', 'pase', 'lo', 'que', 'pase', 'mi', 'amor', 'por', 'ti', 'nunca', 'cambiar\\xc3\\xa1.', 'te', 'amo\\xe2\\x80\\xa6', ""https://t.co/05g2qhkz8z'""]",160.0,4.0,4.0,4.0,18.0,2.0,4.0,1.0
"b'en el d\xc3\xada del amigo, regal\xc3\xa1 buena onda!\n.\n+ humidificador: dise\xc3\xb1o compacto y decorativo. capacidad de 50ml. vaporiz\xe2\x80\xa6 https://t.co/230zg2k2cc'",[ 0  2  0  0  0  0  1  0  0  0  0  0  0  0 -2  0  0  0],"[""b'en"", 'el', 'd\\xc3\\xada', 'del', 'amigo,', 'regal\\xc3\\xa1', 'buena', 'onda!\\n.\\n+', 'humidificador:', 'dise\\xc3\\xb1o', 'compacto', 'y', 'decorativo.', 'capacidad', 'de', '50ml.', 'vaporiz\\xe2\\x80\\xa6', ""https://t.co/230zg2k2cc'""]",177.0,0.0,2.0,0.0,8.0,2.0,2.0,2.0
"b'@bwsvol6 @sunfloweragus amor te lo mereces, las dos se lo merecen, las adoro'",[ 0  0  2 -2 -1  0 -1  1  0 -1  0 -1  0],"[""b'@bwsvol6"", '@sunfloweragus', 'amor', 'te', 'lo', 'mereces,', 'las', 'dos', 'se', 'lo', 'merecen,', 'las', ""adoro'""]",79.0,0.0,2.0,8.0,10.0,2.0,2.0,2.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
"b'rt @partidopsuv: mientras el imperialismo sigue promoviendo su odio por los pa\xc3\xadses libres del mundo, en venezuela se despliegan pol\xc3\xadticas s\xe2\x80\xa6'",[ 0  0  0  2  0  0  0  0 -2  0 -1  0  0  0  0  1  0  0  0  0  0],"[""b'rt"", '@partidopsuv:', 'mientras', 'el', 'imperialismo', 'sigue', 'promoviendo', 'su', 'odio', 'por', 'los', 'pa\\xc3\\xadses', 'libres', 'del', 'mundo,', 'en', 'venezuela', 'se', 'despliegan', 'pol\\xc3\\xadticas', ""s\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,2.0,10.0,2.0,2.0,0.0
"b'@ernestocedeno cable onda, y cable &amp; wireless son los peores internet de latinoam\xc3\xa9rica, pero son los \xc3\xbanicos que tenemos.'",[ 0  0  0  0  0  0  0  0 -1  0  0 -2  0  0  0 -1  0  0  0],"[""b'@ernestocedeno"", 'cable', 'onda,', 'y', 'cable', '&amp;', 'wireless', 'son', 'los', 'peores', 'internet', 'de', 'latinoam\\xc3\\xa9rica,', 'pero', 'son', 'los', '\\xc3\\xbanicos', 'que', ""tenemos.'""]",141.0,0.0,2.0,4.0,8.0,0.0,0.0,-2.0
b'rt @cjshoter: cosas muy importante que todos deben saber antes de vivir con su pareja.\n\n1- no se folla a diario\n2- debes aprender a querer\xe2\x80\xa6',[ 0  0  0  0  0  0  0  0  0  2 -2  0  0  0  0 -1  0  0 -3  0  0  0 -3  0],"[""b'rt"", '@cjshoter:', 'cosas', 'muy', 'importante', 'que', 'todos', 'deben', 'saber', 'antes', 'de', 'vivir', 'con', 'su', 'pareja.\\n\\n1-', 'no', 'se', 'folla', 'a', 'diario\\n2-', 'debes', 'aprender', 'a', ""querer\\xe2\\x80\\xa6'""]",156.0,4.0,2.0,2.0,10.0,0.0,2.0,-2.0
b'iba en el tranque del west virtual (cable onda) y no llegu\xc3\xa9 al canto del himno',[ 0  1  2  0  0  0  0  0  0  0 -1  0 -1  0  0  0],"[""b'iba"", 'en', 'el', 'tranque', 'del', 'west', 'virtual', '(cable', 'onda)', 'y', 'no', 'llegu\\xc3\\xa9', 'al', 'canto', 'del', ""himno'""]",88.0,0.0,0.0,4.0,8.0,2.0,2.0,0.0
"b'te mereces felicidad, mereces amor, mereces lo mejor porque eres valioso y no puedes esperar menos que eso.\xf0\x9f\xa5\xb0'",[ 0  0  0  0  0  0 -1  2  0  0  0  0 -1  0  0  0  0  0],"[""b'te"", 'mereces', 'felicidad,', 'mereces', 'amor,', 'mereces', 'lo', 'mejor', 'porque', 'eres', 'valioso', 'y', 'no', 'puedes', 'esperar', 'menos', 'que', ""eso.\\xf0\\x9f\\xa5\\xb0'""]",126.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
"b'rt @nicolasgarciab: al sol y al agua y en cualquier circunstancia, campesinos y mensajes como este nos demuestran lo gratificante que es co\xe2\x80\xa6'",[ 0  0 -1  0  0 -1  0  0  1  0  0  0  0  0  0  0  1  0 -1  0  0 -2  0],"[""b'rt"", '@nicolasgarciab:', 'al', 'sol', 'y', 'al', 'agua', 'y', 'en', 'cualquier', 'circunstancia,', 'campesinos', 'y', 'mensajes', 'como', 'este', 'nos', 'demuestran', 'lo', 'gratificante', 'que', 'es', ""co\\xe2\\x80\\xa6'""]",154.0,0.0,2.0,6.0,14.0,4.0,0.0,0.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
